24	96
16	120
64	256
12	48
12	48
4	32
4	32
4	32
2	4
64	256
12	48
12	48
40	160
2	4
4	8
12	48
4	32
2	4
8	60
24	96
64	256
8	60
8	60
40	160
8	60
2	4
2	4
4	32
4	32
40	160
24	96
2	4
4	32
12	48
2	4
8	60
2	4
4	8
4	32
2	4
2	4
4	32
4	8
64	256
2	4
24	96
64	256
2	4
64	256
24	96
12	48
4	8
12	48
64	256
4	8
2	4
40	160
4	32
24	96
2	4
2	4
4	8
64	256
24	96
2	4
64	256
2	4
2	4
2	4
2	4
12	48
4	32
2	4
2	4
12	48
4	8
2	4
4	32
2	4
4	8
2	4
2	4
2	4
16	120
4	8
24	96
64	256
4	8
12	48
64	256
2	4
8	60
4	8
8	60
2	4
24	96
8	60
2	4
64	256
4	32
4	8
4	8
8	60
8	60
8	60
2	4
24	96
4	8
4	32
24	96
40	160
64	256
64	256
2	4
2	4
40	160
4	8
24	96
24	96
12	48
24	96
4	8
2	4
2	4
4	8
12	48
2	4
2	4
4	32
4	8
4	32
2	4
12	48
4	8
12	48
4	32
24	96
40	160
4	8
2	4
2	4
4	8
4	8
40	160
4	8
12	48
12	48
12	48
8	60
2	4
2	4
2	4
64	256
2	4
12	48
64	256
8	60
4	32
4	32
4	8
4	32
4	8
8	60
12	48
4	32
2	4
8	60
4	8
2	4
2	4
2	4
2	4
2	4
4	32
40	160
4	32
12	48
2	4
12	48
8	60
12	48
4	8
12	48
2	4
4	8
12	48
12	48
4	8
4	8
2	4
2	4
64	256
2	4
2	4
2	4
40	160
24	96
4	8
4	32
2	4
16	120
40	160
2	4
16	120
24	96
2	4
2	4
4	32
4	32
40	160
4	8
12	48
24	96
4	32
2	4
12	48
4	8
4	8
12	48
16	120
4	32
2	4
12	48
12	48
4	8
12	48
4	8
8	60
2	4
4	8
24	96
2	4
64	256
2	4
8	60
8	60
2	4
8	60
2	4
8	60
16	120
4	8
2	4
40	160
40	160
64	256
2	4
12	48
64	256
24	96
4	8
2	4
8	60
2	4
40	160
24	96
2	4
2	4
24	96
16	120
2	4
2	4
40	160
12	48
4	32
2	4
8	60
2	4
4	8
2	4
2	4
24	96
12	48
8	60
2	4
24	96
8	60
12	48
2	4
2	4
4	8
4	8
2	4
2	4
8	60
12	48
2	4
64	256
16	120
2	4
24	96
4	8
24	96
4	8
4	8
4	32
24	96
40	160
4	8
12	48
12	48
4	8
4	8
24	96
4	8
24	96
64	256
4	8
4	32
16	120
4	8
2	4
4	8
12	48
2	4
2	4
2	4
40	160
8	60
40	160
4	32
24	96
4	8
4	32
64	256
4	8
12	48
12	48
2	4
64	256
2	4
4	32
4	32
4	8
16	120
2	4
2	4
12	48
2	4
12	48
4	32
8	60
4	32
24	96
2	4
4	32
4	32
4	8
4	8
4	32
4	8
4	8
4	32
16	120
4	32
2	4
40	160
2	4
8	60
12	48
2	4
16	120
40	160
2	4
12	48
2	4
2	4
12	48
4	32
16	120
2	4
2	4
4	32
40	160
40	160
2	4
8	60
2	4
2	4
2	4
4	32
4	8
4	8
4	32
2	4
4	8
64	256
4	8
12	48
64	256
12	48
2	4
2	4
4	8
64	256
2	4
2	4
24	96
2	4
12	48
4	32
4	8
4	32
2	4
24	96
2	4
12	48
2	4
4	8
2	4
2	4
4	8
24	96
12	48
12	48
8	60
4	32
4	32
4	8
2	4
